"año","mes","dia","cantidad","venta"
2017,8,28,360,224503.2
2018,12,27,277.1,165146.8
2017,3,25,619.5,343532.4
2018,3,21,763.3,409904.3
2018,2,3,340,211874
2018,7,20,192.1,108808.7
2019,3,24,221,140511.8
2017,1,23,892.5,427875.6
2017,8,27,471,261361.2
2018,4,21,270.3,168916.8
2017,5,28,529.5,328116
2017,4,27,249,154380
2017,11,20,586.5,356461.2
2018,12,28,297.5,180263.2
2017,12,16,495,296388
2018,3,22,727.6,391315.6
2018,9,4,178.5,115096.8
2017,6,5,744,433594.8
2018,5,29,168.3,102640.2
2018,2,4,268.6,166372.7
2019,1,31,229.5,148252
2017,9,28,544.5,297660
2018,6,22,178.5,103915.5
2018,4,29,193.8,121277
2019,3,25,290.7,169954.2
2019,2,6,73.1,46222.8
2018,10,30,103.7,64543.7
2018,11,25,1383.8,636039.3
2017,3,29,324,176286
2018,8,18,147.9,96135
2018,9,30,549.1,281680.1
2017,2,15,376.5,222586.8
2017,11,21,312,194438.4
2018,1,26,227.8,134383.6
2017,8,27,627,348876
2017,1,25,457.5,235728
2017,10,26,501,281821.2
2019,3,26,120.7,74855.3
2019,2,7,103.7,65743.6
2017,7,25,256.5,161740.8
2018,3,22,659.6,354447.6
2018,2,4,175.1,109441.8
2018,5,29,513.4,317440.5
2017,9,28,670.5,365232
2018,8,19,79.9,51935
2018,10,30,289,184342.6
2017,4,28,385.5,239010
2018,8,18,255,162435
2018,1,29,368.9,214333.6
2018,12,28,234.6,147878.9
2018,9,24,479.4,264235.4
2017,1,25,688.5,354901.2
2018,7,21,533.8,303300.4
2017,9,29,855,466178.4
2017,8,29,211.5,133814.4
2018,6,22,406.3,236750.8
2017,5,29,373.5,228116.4
2018,11,26,402.9,183099.8
2018,1,28,214.2,127764
2017,7,25,336,215040
2018,8,19,243.1,156975
2019,1,4,346.8,180999
2019,2,8,108.8,70166.2
2017,4,28,181.5,112530
2017,2,15,312,183775.2
2018,3,23,338.3,201060.6
2017,12,2,742.5,412316.4
2017,9,3,306,195840
2017,6,5,525,317680.8
2017,10,26,558,318970.8
2018,4,3,647.7,400439
2019,3,26,232.9,148985.2
2018,5,3,312.8,195139.1
2017,11,20,468,273252
2018,2,5,362.1,214493.5
2017,5,3,454.5,281269.2
2018,7,21,368.9,209267.5
2017,8,29,249,159349.2
2018,10,31,151.3,95391.4
2018,9,5,197.2,111735
2017,9,29,577.5,314853.6
2017,4,29,435,269700
2019,2,8,241.4,154676.6
2017,1,23,826.5,416917.2
2019,1,4,391,201110
2018,5,30,299.2,185152.5
2018,12,29,239.7,146209.7
2018,6,23,360.4,210194.4
2017,6,6,370.5,227494.8
2017,11,21,207,128217.6
2018,3,23,591.6,351171.6
2018,10,4,258.4,167960
2018,2,5,346.8,203134.1
2018,8,2,406.3,262282.8
2017,9,3,444,284160
2018,9,5,396.1,227292
2018,11,26,372.3,187908.5
2019,1,5,669.8,347854
2017,5,29,603,350335.2
2019,3,27,207.4,129825.8
2017,1,24,490.5,249692.4
2018,10,20,227.8,130869.7
2017,4,29,180,111600
2018,1,27,360.4,213088.2
2017,6,7,313.5,194370
2017,12,20,432,269827.2
2017,10,27,912,476144.4
2017,3,30,405,224758.8
2017,11,22,430.5,237956.4
2018,12,29,238,138572.2
2017,1,26,412.5,211456.8
2018,5,30,134.3,83098.6
2018,6,23,183.6,106797.6
2017,7,26,175.5,112320
2018,11,27,351.9,169731.9
2018,11,27,465.8,238297.8
2019,2,9,100.3,65010.4
2017,5,3,801,496620
2018,10,21,261.8,151000.2
2018,4,22,447.1,279052.8
2019,1,5,561,289510
2017,12,21,327,205424.4
2018,5,3,479.4,297620.7
2017,3,28,448.5,247621.2
2017,2,18,759,374881.2
2018,7,23,598.4,318555.9
2017,11,22,583.5,324228
2017,1,27,576,272463.6
2017,7,27,145.5,93120
2018,9,25,419.9,239330
2018,10,31,249.9,160404.4
2017,5,30,429,265980
2018,11,28,418.2,207940.2
2018,7,22,300.9,170684.8
2019,3,28,205.7,132653.3
2017,1,26,727.5,374275.2
2017,6,4,550.5,341310
2017,2,16,226.5,133593.6
2018,12,3,343.4,219642.8
2017,7,26,312,199680
2017,12,21,465,291526.8
2018,10,4,102,66300
2018,6,24,202.3,117692.9
2019,3,27,329.8,209385.8
2018,1,3,613.7,325570.7
2017,10,27,642,366398.4
2019,1,7,489.6,249099.5
2018,2,6,387.6,238602
2018,9,26,214.2,135076.5
2017,9,30,852,464694
2017,6,6,540,334800
2018,8,2,217.6,136245.2
2017,1,27,1261.5,599898
2019,2,9,234.6,151659.3
2018,4,4,270.3,168126.4
2019,1,6,370.6,195275.6
2017,5,30,327,201435.6
2017,2,17,532.5,260906.4
2018,7,22,385.9,220017.2
2017,7,27,324,207360
2017,3,31,436.5,241070.4
2018,9,6,202.3,114621
2018,10,5,299.2,194480
2017,8,3,298.5,191040
2018,3,24,394.4,234895.7
2018,6,24,467.5,272303.2
2017,6,7,472.5,292950
2018,2,6,190.4,118974.7
2018,5,31,108.8,67498.6
2018,4,3,304.3,188276.4
2017,4,30,400.5,248263.2
2018,11,28,187,93342.6
2017,2,18,403.5,196350
2017,7,28,172.5,110400
2017,12,2,694.5,384859.2
2019,3,28,96.9,62615.8
2019,1,31,159.8,101654.8
2017,10,28,384,239308.8
2018,9,6,278.8,159055
2018,12,3,340,207040.6
2018,4,30,431.8,252271.5
2017,6,8,448.5,278070
2018,3,24,690.2,410950.8
2017,2,16,397.5,235002
2017,8,3,264,168960
2017,9,30,1138.5,623950.8
2017,11,24,240,132732
2018,1,29,409.7,247072.8
2019,3,29,141.1,89961.3
2018,7,23,489.6,277784
2017,7,28,328.5,210240
2017,10,29,331.5,206590.8
2017,12,22,423,263613.6
2019,1,6,416.5,213486
2017,4,3,444,241107.6
2018,12,30,180.2,110497.4
2017,2,17,595.5,295203.6
2017,3,29,360,199868.4
2017,8,30,250.5,160320
2018,3,25,447.1,266340.1
2018,8,20,353.6,218013.9
2017,10,28,435,224598
2018,11,29,346.8,172140.8
2018,4,6,406.3,252310.5
2017,11,24,390,216241.2
2017,5,31,399,247374
2018,10,6,272,176800
2018,9,7,261.8,148384.6
2018,8,21,343.4,218790
2017,4,3,732,380238
2017,8,31,285,182400
2018,2,7,476,295288.5
2018,6,25,595,302378.7
2017,12,22,486,302875.2
2018,4,5,639.2,395352.1
2018,11,3,219.3,136045
2018,12,30,363.8,214354.4
2019,1,8,249.9,131630.2
2017,10,29,597,318504
2017,11,23,537,296958
2017,9,4,423,263798.4
2018,3,25,578,343278
2018,8,20,154.7,93969.2
2018,7,24,215.9,122800.6
2018,9,8,370.6,210860
2019,1,7,263.5,126558.9
2019,3,29,260.1,167034.4
2018,5,31,314.5,194177.1
2018,2,8,215.9,135068.7
2018,10,7,336.6,218569
2017,1,29,829.5,394005.6
2017,5,31,411,254820
2017,3,3,654,339644.4
2018,12,31,195.5,117371.8
2018,1,30,414.8,256263.8
2017,4,30,667.5,413850
2018,6,25,445.4,237757
2018,11,3,51,33039.5
2017,11,23,595.5,331813.2
2017,6,8,340.5,211110
2018,4,23,419.9,240925.1
2018,8,21,110.5,69968.6
2017,9,4,472.5,282038.4
2018,5,4,408,252144.1
2018,2,9,484.5,301247.7
2017,3,30,313.5,150249.6
2018,1,31,345.1,214455.8
2017,12,20,369,231120
2018,9,27,91.8,58377.8
2018,8,22,268.6,172120
2018,12,31,232.9,146351.4
2017,4,4,622.5,345325.2
2017,3,3,1077,561014.4
2017,1,3,457.5,258001.2
2018,7,24,380.8,216515
2017,7,3,870,483512.4
2017,8,30,105,67200
2018,2,9,290.7,181545
2018,4,4,646,399360
2018,1,3,591.6,312052
2018,11,29,402.9,200036.2
2017,11,25,414,228848.4
2018,6,26,447.1,242749
2017,6,9,427.5,265050
2017,12,23,622.5,387942
2018,9,8,331.5,188162
2017,4,4,520.5,286807.2
2018,3,26,703.8,393580.2
2017,8,31,108,69120
2017,5,4,330,204600
2017,2,19,591,288205.2
2018,2,7,260.1,162627.4
2017,7,3,487.5,283742.4
2018,6,27,430.1,233395.5
2019,3,30,144.5,92725.1
2017,12,24,313.5,195373.2
2017,1,31,415.5,216417.6
2017,11,25,318,176924.4
2017,10,3,975,534266.4
2017,7,29,268.5,171840
2018,4,7,542.3,334217
2018,7,26,372.3,233169.3
2018,8,22,149.6,97240
2017,5,5,295.5,183210
2017,2,2,519,262688.4
2018,2,8,372.3,230889.1
2018,3,26,460.7,269757.8
2019,3,3,348.5,181398.1
2018,12,4,241.4,153970.7
2018,10,8,569.5,304929.3
2018,5,4,363.8,227327.1
2018,7,25,314.5,191324.9
2017,5,4,516,319734
2018,1,4,547.4,289541.2
2017,12,24,472.5,294462
2017,10,3,700.5,377452.8
2018,6,26,367.2,199368
2017,3,6,1266,615966
2017,7,29,387,247680
2017,8,4,108,69120
2019,1,9,600.1,320680.1
2018,5,5,316.2,197589.6
2017,1,3,295.5,160843.2
2018,12,5,401.2,209463.8
2019,3,3,613.7,320131.5
2018,9,28,374,190957
2018,1,30,210.8,128534.9
2018,4,5,249.9,155300.6
2017,3,31,213,116508
2017,10,30,790.5,464784
2018,6,27,450.5,244394.8
2018,11,30,445.4,224446.3
2017,9,5,129,82089.6
2019,3,30,248.2,158837.9
2017,1,30,783,394527.6
2018,5,6,401.2,251071.6
2018,8,24,215.9,136890
2017,5,5,492,305040
2018,9,29,627.3,320214.7
2018,1,31,209.1,130678.6
2017,6,9,435,269700
2018,12,5,656.2,342329
2017,7,30,423,270720
2018,7,25,382.5,236541.5
2017,10,31,493.5,304309.2
2017,9,6,207,131270.4
2017,2,20,468,253302
2018,9,9,527,300651
2018,12,4,307.7,197132
2018,3,27,413.1,245661
2018,11,30,251.6,125463
2017,8,4,264,168960
2019,1,8,391,208773.5
2017,9,5,319.5,204480
2017,11,26,351,194926.8
2017,2,19,781.5,385542
2017,4,5,628.5,389670
2018,7,26,244.8,148183.1
2018,5,5,401.2,247811.2
2019,3,31,290.7,185226.6
2018,3,28,523.6,324096.5
2017,1,4,198,116808
2018,10,9,260.1,147817.8
2018,1,5,516.8,273345.8
2019,1,9,306,163566
2017,5,6,406.5,252030
2017,9,6,346.5,221760
2017,11,27,1021.5,531187.2
2018,8,24,192.1,124865
2017,6,1,280.5,173910
2017,2,2,880.5,453553.2
2017,12,26,421.5,262678.8
2018,5,6,440.3,273503.1
2018,7,27,486.2,303023.5
2018,3,27,465.8,277479.8
2018,6,28,282.2,153218
2017,8,6,178.5,114240
2018,4,8,357,223167.1
2018,10,23,272,156973.7
2017,4,5,364.5,225990
2017,11,26,451.5,252432
2018,8,23,144.5,93925
2018,8,23,209.1,133445
2017,3,7,555,288601.2
2018,1,6,586.5,310888.5
2017,1,4,370.5,218516.4
2017,6,10,342,212040
2017,8,5,286.5,183360
2017,10,30,499.5,277412.4
2018,12,6,737.8,389990.9
2017,12,26,534,332788.8
2018,11,5,331.5,202389.2
2018,11,5,397.8,253379.1
2017,6,1,513,318060
2017,3,4,1360.5,709863.6
2017,7,30,244.5,156480
2019,3,31,324.7,208674.7
2018,10,9,375.7,215187.7
2017,10,31,420,231034.8
2018,5,7,453.9,272279.8
2018,8,25,285.6,185640
2017,5,6,502.5,311550
2018,11,4,119,77350
2018,3,28,249.9,155720.5
2017,8,5,195,124800
2017,12,23,541.5,337462.8
2018,1,5,440.3,232688.3
2018,9,4,283.9,184535
2017,6,10,403.5,250170
2018,12,6,487.9,254813
2017,3,5,930,483813.6
2019,3,4,969,474896.5
2018,6,28,385.9,209521
2017,9,7,148.5,95040
2017,7,31,339,212121.6
2017,3,4,787.5,409362
2018,1,6,538.9,284900.2
2017,11,28,538.5,297811.2
2018,8,25,256.7,165119.5
2017,1,31,838.5,432993.6
2018,11,4,217.6,141219
2019,3,5,642.6,339440.4
2018,7,27,411.4,248921.4
2017,4,6,598.5,371070
2018,1,4,598.4,316339.4
2017,3,5,1290,676122
2017,5,7,451.5,279930
2017,9,7,357,228480
2018,3,29,210.8,130960.7
2019,3,4,685.1,352677
2017,8,6,265.5,169920
2018,6,3,368.9,230718.8
2017,11,28,700.5,389132.4
2017,4,7,529.5,327678
2018,9,7,396.1,225290
2018,6,29,323,187210.4
2017,10,4,415.5,226570.8
2017,9,8,157.5,100728
2017,4,6,330,204460.8
2018,4,8,510,316986.8
2017,11,27,918,501417.6
2018,11,6,340,213980
2017,8,7,295.5,177024
2017,1,5,184.5,107695.2
2018,7,29,564.4,348488.4
2017,12,28,502.5,313158
2018,1,7,547.4,290126.2
2017,6,11,466.5,289230
2018,12,7,644.3,336141
2018,3,29,498.1,306741.5
2018,5,7,843.2,489327.8
2018,7,28,360.4,214175
2018,6,3,443.7,275314
2017,9,9,310.5,198720
2017,4,7,373.5,231482.4
2017,12,27,445.5,277635.6
2017,12,27,447,278570.4
2018,4,9,727.6,422342.7
2018,9,9,357,203846.5
2017,5,8,508.5,306342
2017,7,31,423,253113.6
2017,10,4,856.5,469606.8
2017,9,8,330,211200
2018,8,26,214.2,139230
2018,11,6,185.3,119824.9
2017,5,7,459,284440.8
2017,6,11,607.5,376650
2018,12,7,402.9,210392
2018,10,3,90.1,55980.6
2018,6,30,438.6,255348.6
2019,3,5,448.8,233170.6
2018,5,9,192.1,119619.5
2018,8,27,331.5,201233.5
2017,9,9,217.5,139200
2017,8,7,327,205180.8
2018,3,3,7682.3,3228868.5
2018,1,7,661.3,349129.3
2017,11,29,408,226390.8
2018,8,26,360.4,231725
2018,5,8,328.1,203117.2
2017,12,28,352.5,219678
2017,10,6,537,293907.6
2017,4,8,397.5,246450
2017,7,5,427.5,254088
2019,3,6,528.7,275631.2
2018,6,30,195.5,113938.5
2018,7,28,532.1,326387.1
2017,6,13,436.5,270630
2017,10,5,837,457272
2017,1,5,322.5,190662
2018,12,8,435.2,225938.7
2017,5,8,550.5,321679.2
2018,8,27,345.1,217191
2018,3,3,10769.5,4528989.4
2017,11,29,588,328100.4
2018,6,29,462.4,268957
2018,5,8,358.7,219696.1
2018,7,29,465.8,283517
2017,7,5,324,192312
2017,3,6,1128,583458
2018,11,7,579.7,293424.3
2017,12,29,307.5,191634
2018,10,5,115.6,75140
2018,12,8,873.8,458133
2018,4,30,353.6,205875.8
2017,3,9,276,162904.8
2017,6,12,664.5,385476
2017,7,4,450,267492
2018,7,3,183.6,107031.6
2017,8,9,331.5,212160
2019,3,6,314.5,163260.5
2017,10,6,738,403640.4
2017,4,8,555,344100
2018,11,8,355.3,181036.7
2018,1,8,935,461228.3
2017,1,6,535.5,256658.4
2018,10,6,273.7,177794.5
2017,8,8,154.5,98880
2017,5,9,282,173407.2
2017,12,29,415.5,258939.6
2017,10,5,424.5,232040.4
2018,5,9,290.7,179862.8
2017,7,4,406.5,240343.2
2017,6,12,364.5,222928.8
2018,11,7,377.4,191925.5
2018,7,3,445.4,259685.4
2018,1,9,569.5,302750.5
2018,8,28,283.9,184535
2018,10,7,229.5,149175
2017,11,3,501,306607.2
2018,11,8,600.1,303150.9
2019,3,7,525.3,273028.6
2018,3,30,314.5,195622.7
2018,4,6,249.9,155300.6
2017,4,9,517.5,320850
2018,6,4,491.3,296273.9
2018,10,8,487.9,273183.3
2017,10,7,427.5,233089.2
2017,8,9,111,71040
2017,6,14,355.5,220410
2018,12,9,697,365534
2017,1,9,394.5,227805.6
2019,3,8,311.1,162423.3
2017,5,9,295.5,183210
2017,8,8,342,218880
2018,4,7,294.1,183748.5
2018,3,31,283.9,176497.1
2017,7,6,400.5,238230
2017,7,6,316.5,187788
2017,3,7,807,422126.4
2018,6,5,178.5,109146.7
2017,4,9,694.5,430503.6
2018,8,28,93.5,56570.8
2018,12,9,329.8,171982.2
2017,12,3,618,342738
2017,1,6,609,296288.4
2019,3,8,358.7,187138.9
2017,3,8,219,129472.8
2017,11,3,439.5,243354
2018,7,30,545.7,314232.1
2018,8,29,207.4,110513
2019,3,7,392.7,204526.4
2018,3,30,227.8,141928.8
2018,4,9,557.6,338521.3
2018,6,4,273.7,158298.4
2017,10,7,813,444798
2017,1,7,676.5,323913.6
2017,11,30,384,213142.8
2018,7,31,385.9,232653.2
2018,1,8,759.9,393295.5
2017,3,8,208.5,121312.8
2018,8,3,406.3,232714.3
2018,3,31,224.4,140145.2
2018,6,5,448.8,276836.3
2017,1,7,688.5,329824.8
2018,1,9,459,242179.6
2017,11,30,627,348346.8
2018,3,4,7454.5,3134309.1
2018,6,6,161.5,100578.4
2018,7,30,618.8,385171.8
2017,7,7,310.5,184362
2018,11,9,656.2,332792.2
2018,8,29,236.3,153595
2017,1,8,715.5,340114.8
2017,11,4,498,281251.2
2017,3,9,126,73410
2018,7,31,598.4,368180.8
2017,10,8,555,305541.6
2017,7,8,579,343818
2018,11,9,273.7,138741.2
2017,1,9,312,172900.8
2017,7,7,472.5,280518
2017,1,8,832.5,398733.6
2017,12,30,349.5,217808.4
2019,3,9,503.2,262176.2
2017,7,8,420,249186
2017,12,31,255,158916
2018,3,4,10585.9,4456387
2017,11,4,492,302726.4
2018,7,4,408,238368
2019,3,9,365.5,191781.2
2017,10,8,646.5,354808.8
2017,12,3,580.5,322251.6
2018,6,7,105.4,65591.5
2018,8,3,176.8,101264.8
2017,10,9,930,499635.6
2018,7,4,285.6,165698
2017,11,5,316.5,197242.8
2018,3,5,766.7,430554.8
2018,8,30,188.7,98358
2017,12,4,924,479625.6
2018,6,8,404.6,250620.5
2017,10,9,967.5,494524.8
2018,3,5,465.8,271941.8
2018,6,6,377.4,232697.4
2017,11,6,325.5,197150.4
2017,11,5,232.5,146154
2017,12,4,766.5,415450.8
2017,7,9,418.5,248172
2018,6,8,112.2,69603.3
2017,12,30,387,241178.4
2018,8,30,195.5,127075
2017,7,9,576,342084
2018,6,9,431.8,268669.7
2018,3,6,246.5,145424.5
2017,12,31,268.5,167329.2
2018,8,31,272,176800
2018,8,31,215.9,140335
2017,11,6,520.5,304936.8
2018,7,5,153,89193
2018,3,7,552.5,296367.5
2018,8,4,289,165529
2018,7,6,309.4,179657.4
2018,3,6,506.6,301784.6
2017,12,5,543,302430
2017,11,7,399,248656.8
2018,8,4,88.4,50632.4
2017,12,6,391.5,234910.8
2018,3,7,571.2,307299.2
2018,7,5,516.8,301817.1
2018,8,5,392.7,224924.7
2018,7,6,312.8,182488.8
2017,11,8,237,148278
2017,11,9,423,263613.6
2018,3,8,572.9,307687.9
2018,7,7,346.8,201910.8
2017,11,7,214.5,133642.8
2017,12,7,583.5,351973.2
2018,3,8,612,328022.5
2018,8,6,489.6,295340.5
2018,7,7,523.6,306009.6
2018,3,9,746.3,399855.3
2018,8,7,413.1,256226.1
2017,11,8,378,235569.6
2018,7,8,482.8,281158.8
2017,12,5,450,249272.4
2017,11,9,157.5,98506.8
2018,8,5,299.2,171371.2
2018,7,9,370.6,201585.8
2017,12,6,289.5,170048.4
2018,7,8,360.4,210570.1
2017,12,8,448.5,258722.4
2018,3,9,647.7,346318.7
2018,7,9,457.3,261199.9
2018,8,8,178.5,115141
2017,2,21,312,183688.8
2018,8,6,445.4,254429.5
2017,12,7,310.5,184626
2017,2,23,904.5,473732.4
2018,8,7,221,130990.6
2017,12,9,532.5,318030
2017,2,23,541.5,281340
2017,12,9,354,211396.8
2017,2,20,489,283168.8
2017,12,8,552,326679.6
2017,2,22,544.5,284764.8
2018,8,8,324.7,208325
2018,8,9,117.3,76245
2017,2,24,774,377338.8
2018,8,9,300.9,191685
2017,2,24,1155,566828.4
2017,2,21,436.5,258037.2
2017,2,22,955.5,501825.6
2017,2,25,726,353997.6
2017,2,25,1152,564445.2
2017,2,26,1594.5,788950.8
2017,2,28,1236,605989.2
2017,2,28,799.5,391514.4
2017,2,27,1092,532939.2
2017,2,26,918,447787.2
2017,2,27,1240.5,568902
2017,2,3,1683,811293.6
2017,2,4,816,391959.6
2017,2,7,463.5,234453.6
2017,2,5,1434,690364.8
2017,2,9,256.5,151424.4
2017,2,9,144,84105.6
2017,2,8,298.5,176473.2
2017,2,8,225,133020
