"año","mes","dia","cantidad","venta"
2019,2,16,510,266640.4
2018,3,13,804.1,431895.1
2018,12,12,484.5,246496.9
2019,3,1,515.1,265970.9
2017,9,13,280.5,179520
2017,3,14,142.5,83952
2018,8,13,406.3,253367.4
2019,1,15,906.1,483792.4
2018,1,14,612,323271
2017,4,13,333,206460
2017,11,10,319.5,199112.4
2017,1,10,340.5,200462.4
2019,2,17,389.3,203249.8
2017,10,11,196.5,124872
2017,5,15,474,276154.8
2017,12,11,603,343996.8
2018,1,13,581.4,308084.4
2018,11,11,277.1,141628.5
2018,2,16,341.7,211814.2
2018,10,16,309.4,177213.4
2018,4,14,212.5,132215.2
2018,5,15,192.1,118153.1
2018,3,13,593.3,316707.3
2018,12,12,193.8,100635.6
2017,8,14,244.5,153724.8
2019,1,16,379.1,202458.1
2017,9,13,166.5,106560
2019,2,18,671.5,343766.8
2017,4,14,199.5,123690
2018,8,13,307.7,187148
2017,1,11,322.5,190356
2018,9,14,368.9,209469
2018,6,11,249.9,144628.9
2018,6,11,404.6,246387.7
2017,12,12,402,237907.2
2018,3,12,1060.8,534879.8
2017,11,10,207,129394.8
2018,1,14,627.3,331566.3
2018,12,13,549.1,280900.1
2018,8,12,367.2,235170
2017,9,12,189,120019.2
2017,6,19,570,330333.6
2018,2,16,181.9,113552.4
2017,11,1,654,349706.4
2018,5,15,353.6,219354.2
2019,1,16,848.3,453441.3
2018,10,12,14118.5,5929339
2017,9,12,295.5,189120
2017,7,12,225,144000
2017,5,15,543,328450.8
2018,11,12,595,283910.9
2018,11,12,666.4,328728.4
2017,1,10,175.5,103010.4
2018,6,12,419.9,260221
2017,8,15,214.5,137280
2017,3,15,196.5,116012.4
2018,9,16,187,107250
2018,5,16,85,53086.8
2017,12,13,276,166819.2
2019,2,18,756.5,369279.3
2018,10,15,6579,2735432.7
2017,10,11,402,253584
2017,1,11,132,77623.2
2018,4,12,455.6,273854.1
2017,12,12,718.5,414937.2
2017,11,11,247.5,154396.8
2017,6,2,424.5,263190
2019,2,17,496.4,259394.2
2017,7,12,403.5,258240
2018,6,13,122.4,75843.3
2018,12,13,331.5,165750
2018,5,17,159.8,99414.9
2018,3,14,714,384462
2017,8,15,220.5,141120
2018,9,16,187,105820
2017,3,15,457.5,270085.2
2017,4,14,283.5,175770
2019,3,11,620.5,319829.9
2018,10,16,190.4,108032.6
2017,6,18,385.5,239010
2018,5,16,389.3,240896.5
2017,9,14,172.5,110400
2017,5,16,352.5,217573.2
2018,9,12,266.9,151320
2018,11,13,596.7,288733.9
2018,4,13,241.4,150248.8
2017,10,12,343.5,217092
2018,2,17,496.4,307906.3
2018,12,14,669.8,342097.6
2019,1,17,319.6,170835.6
2019,2,19,272,141232
2018,4,15,493,297031.8
2018,5,17,214.2,132743
2017,4,15,198,122760
2018,10,17,413.1,236609.1
2018,6,12,95.2,58613.1
2017,5,17,226.5,140430
2017,1,12,321,185810.4
2018,9,13,255,145158
2018,1,15,600.1,314906.8
2017,10,13,240,152088
2019,3,11,676.6,329505.8
2019,1,18,647.7,348479.3
2017,7,13,241.5,154560
2018,2,17,190.4,118752.4
2018,12,14,156.4,81549
2019,2,2,193.8,125674.9
2018,9,15,336.6,192478
2017,8,16,262.5,168000
2017,6,2,436.5,270630
2018,4,16,579.7,335155.6
2018,6,13,384.2,238096.3
2019,1,17,707.2,377884
2018,3,14,647.7,347417.2
2017,1,12,115.5,68038.8
2017,9,14,274.5,175680
2018,11,13,860.2,412211.8
2018,2,18,198.9,124125.3
2017,5,16,457.5,283650
2017,3,16,348,205308
2017,11,11,310.5,193503.6
2017,10,12,231,146436
2017,7,13,417,266880
